"","0_healthy","1_normal","2_fibrose","3_zirrhose"
"Acinetobacter",5.44121527495397e-05,1.84293155121852e-05,3.46816523295905e-05,3.06933197577133e-05
"Actinomyces",0.000260359225521991,0.000232670108341339,0.000173408261647953,0.000361440299905486
"Akkermansia",0.0187645866987445,0.00814575745638587,0.153021429673383,0.00910956562602201
"Alistipes",0.180136989908008,0.15187138180704,0.171859546483579,0.0929811786446465
"Anaerofilum",6.78689217091033e-05,1.84293155121852e-05,3.58775713754385e-05,1.69342453835659e-05
"Anaerotruncus",7.48898446445277e-05,4.14659599024168e-05,0.000218853185390175,2.43429777388761e-05
"Atopobium",2.16478457175588e-05,4.60732887804631e-06,3.70734904212864e-05,7.67332993942832e-05
"Bacteroides",0.214546533214524,0.0713813463075715,0.174199960056304,0.21245968855806
"Barnesiella",0.0652079919165774,0.0279319313231557,0.0294746208039685,0.020649724659754
"Bifidobacterium",0.0152810387689514,0.00122324581712129,0.00181420919255134,0.0278986400742567
"Bilophila",0.000457530144625162,0.000276439732682779,5.38163570631577e-05,7.56749090578103e-05
"Blautia",0.0047040183667344,0.00192586347102336,0.0013717191455876,0.0171792627464594
"Bradyrhizobium",2.63284610078418e-05,1.38219866341389e-05,9.56735236678359e-06,3.01641245894768e-05
"Brevundimonas",2.86687686529833e-05,2.30366443902315e-06,1.31551095043274e-05,1.95802212247481e-05
"Butyricimonas",0.00667397232703225,0.0029947637707301,0.00691121616595529,0.00673718368681807
"Candidatus_Soleaferrea",0.00177161288737211,0.000709528647219131,0.000550122761090056,0.00223002843894834
"Christensenella",0.00130881705054538,0.000718743304975224,0.00116841290779345,0.000586877441574207
"Clostridium",0.00699049893603764,0.00356607255160784,0.00473942717869542,0.00335562656178724
"Collinsella",0.00114967613067576,0.00109654427297502,0.00110861695550105,0.00374670179111397
"Coprococcus",0.0038158716154032,0.00542973708277757,0.000963910750953446,0.00245493638544883
"Dehalobacterium",0.000131057228127924,9.21465775609262e-05,0.000172212342602105,1.42882695423838e-05
"Dialister",0.0463889930650834,0.0608973694455771,0.0601547280061518,0.0817606534925294
"Dorea",0.0038878360754913,0.00165863839609667,0.000376714499442104,0.00156218413663396
"Eggerthella",5.49972296608251e-05,2.53403088292547e-05,1.07632714126315e-05,6.77369815342638e-05
"Erysipelatoclostridium",8.19107675799522e-05,1.15183221951158e-05,3.10938951920467e-05,0.00371018732450565
"Eubacterium",0.00940862181038008,0.0102628250758482,0.00435314532688653,0.00527395904664432
"Faecalibacterium",0.00870184890154735,0.00827936999384922,0.00208927057309637,0.00418381700007726
"Fusicatenibacter",0.00345078362276113,0.000460732887804631,0.000534575813494033,0.00130605367520752
"Fusobacterium",1.17015382257075e-05,2.76439732682778e-05,8.25184141635084e-05,0.00122244083862617
"Gemella",2.22329226288442e-05,3.45549665853473e-05,5.14245189714618e-05,5.02735409824614e-05
"Gemmiger",0.0238541707500159,0.000831622862487359,0.00314167933344256,0.0105108744315121
"Granulicatella",0.000218818764820729,5.9895275414602e-05,0.00033246549474573,0.000506968971170506
"Haemophilus",0.000711453524123014,0.00237047070775483,0.00459472097414782,0.0121863063341486
"Holdemania",7.95704599348107e-05,2.07329799512084e-05,7.65388189342687e-05,7.93792752354654e-06
"Intestinibacter",0.0128576502024074,0.00597340189038704,0.00595926460546033,0.00644453875878332
"Intestinimonas",0.00050960198972956,0.00163329808726742,0.000101653118897076,0.000102663862637869
"Kluyvera",0.00179501596382352,6.21989398536252e-05,3.10938951920467e-05,0.00192044926553003
"Lachnoclostridium",0.00296926532477327,0.00505654344365582,0.000514245189714618,0.0022686596862296
"Lactobacillus",0.00211622318811919,0.000649633371804529,0.00336770803310782,0.0025242609524878
"Lactococcus",0.000206532149683737,7.14135976097178e-05,0.000185367452106432,0.000144999476096783
"Massilia",0.00031360122444896,0.000135916201902366,0.000229616456802806,0.000183630723378043
"Megasphaera",7.60599984670985e-06,6.21989398536252e-05,0.00013394293313497,0.00329159394643063
"Odoribacter",0.00987551318558581,0.00504041779258266,0.00439021881730782,0.00308520783081842
"Oscillibacter",0.0376023080113996,0.0565181033469941,0.0425220975941697,0.0206507830500904
"Oscillospira",0.00245439764284214,0.00319518257692511,0.00238825033455835,0.00273329304394119
"Parabacteroides",0.00376204453956495,0.00381486831102234,0.00350165096624279,0.00342706790949916
"Paraprevotella",0.00167507519701002,0.00357067988048589,0.00271234439598315,0.000892752248814867
"Parasutterella",0.0113861817705246,0.000129005208585297,0.000260710351994853,0.00193473753507241
"Pelomonas",0.000308920609158677,0.000133612537463343,0.000135138852180818,0.000204269334939264
"Phascolarctobacterium",0.0235259426027848,0.0236056495066703,0.0185522921582392,0.0337806443692047
"Phenylobacterium",0.000275571225215411,0.000117486886390181,0.000163840909281169,0.000236550240201687
"Prevotella",0.00895752751177906,0.344388618976205,0.0586048169227329,0.0826248292022595
"Pseudomonas",0.000150364766200341,6.21989398536252e-05,0.000100457199851228,7.72624945625196e-05
"Roseburia",0.0306767526125147,0.0179731899532586,0.00919063786734148,0.0166384252845218
"Rothia",4.27106145238322e-05,2.07329799512084e-05,1.31551095043274e-05,0.00011430615633907
"Ruminococcus",0.0445723292555423,0.0217258593244274,0.0228300945852373,0.0338325054956918
"Shigella",0.000499070605326423,0.0181805197527707,0.00163003765949075,0.00696367921882326
"Sphingomonas",0.00502873605249778,0.00185444987341364,0.00348012442341753,0.00366785171104674
"Staphylococcus",5.26569220156836e-05,1.38219866341389e-05,3.10938951920467e-05,3.91604424494963e-05
"Streptococcus",0.00121813012929615,0.00263308845380347,0.00311536911443391,0.0163314920869446
"Sutterella",0.00104436228664439,7.37172620487409e-05,0.000483151294522571,0.00679909952150173
"Terrisporobacter",0.005135805127263,0.00561633390233845,0.00270038520552467,0.00158811469987754
"Turicibacter",0.0141056192541791,0.00966387232170213,0.0118754761252701,0.00498978124130135
"Tyzzerella",0.000662892140486328,0.00108963327965795,0.00101294343183321,0.000768391384279305
"unclassified",0.120968161869719,0.0760347484743982,0.129770371584007,0.0866355993823234
"Veillonella",0.0126499478989011,0.0144531906904313,0.0231147233181491,0.118554535149672
"NA",0.0242461722805771,0.0138104683119438,0.0231362498609744,0.0141602043116706
