"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15","Axis.16","Axis.17","Axis.18","Axis.19","Axis.20","Axis.21","Axis.22","Axis.23","Axis.24","Axis.25","Axis.26","Axis.27","Axis.28","Axis.29","Axis.30","Axis.31","Axis.32","Axis.33","Axis.34","Axis.35","Axis.36","Axis.37","Axis.38","Axis.39","Axis.40","Axis.41","Axis.42"
"AIH047",0.093585,-0.21843,0.25091,0.0013361,0.0095237,0.036582,-0.043682,0.00024228,0.033516,0.19025,0.047907,-0.084983,0.028322,0.039293,-0.12968,-0.020705,-0.10779,-0.076575,0.074403,0.025739,0.14632,-0.10901,0.0096854,-0.049656,0.00099668,0.0144,0.033159,-0.019485,-0.01073,0.023114,-0.0070521,-0.0095732,-0.011987,0.070266,-0.049,-0.0014169,0.033172,0.063012,-0.024053,0.020342,-0.00090974,0.0094717
"AIH049",0.020272,-0.082652,0.029806,-0.25735,-0.14993,-0.034869,-0.069205,-0.019586,-0.096617,-0.093871,0.086303,0.19791,-0.096254,0.16569,-0.062677,-0.061734,0.014508,0.0041826,0.018586,0.039081,0.050668,0.053049,-0.053048,0.046783,-0.091454,-0.038862,-0.02995,-0.058108,-0.012436,0.066237,0.025808,-0.091757,-0.07391,0.038561,-0.041866,0.063492,-0.026308,-0.027811,-0.02208,0.015604,-0.0061903,0.0065096
"AIH050",-0.029902,-0.25701,0.069067,0.089782,0.019084,-0.094903,0.05011,-0.010547,-0.24806,-0.12411,-0.10881,0.087372,0.089514,-0.0066966,0.10694,0.05031,-0.010848,0.027155,-0.048841,0.011802,0.070043,-0.014538,0.015699,0.013544,-0.083735,0.11776,0.003752,-0.033912,0.074767,0.010824,-0.021255,0.046619,0.011612,0.070594,0.0095425,-0.030694,-0.022528,0.050377,0.046031,-0.011419,-0.0081626,-0.0035992
"AIH051",0.15617,-0.19575,-0.060402,0.099886,0.1467,0.051618,-0.116,-0.096152,0.093062,-0.011769,0.099819,-0.044257,-0.095714,0.069235,-0.093938,-0.094928,0.18063,-0.11305,-0.057916,0.10648,-0.0046565,0.084653,-0.050662,0.0053644,-0.0049592,-0.034177,0.059639,-0.011613,-0.060673,-0.01255,-0.0046025,0.01733,0.01148,2.2136e-05,0.010833,-0.046285,0.0067803,0.024416,0.033775,0.041786,0.0040661,-0.019305
"AIH052",0.14425,-0.15504,0.14499,0.12836,-0.16909,0.3146,0.069796,0.0058166,-0.059226,0.061778,-0.091732,-0.054954,-0.0024495,0.065468,-0.050001,0.03955,0.026154,-0.032887,-0.091324,0.09541,0.046001,0.036482,0.07709,-0.013114,0.037322,0.03514,-0.025718,0.012582,-0.0060956,0.0096457,0.039479,-0.028335,0.021028,-0.048178,0.060608,0.052885,0.031592,0.024976,0.0071532,0.0045757,0.0072832,-0.0032613
"AIH053",0.10216,-0.20245,0.13692,-0.19291,-0.0013395,0.026235,-0.067158,0.11515,0.1833,0.022517,-0.064449,0.02178,0.053329,-0.051115,0.16979,-0.059262,-0.0064293,0.014283,-0.0265,0.030036,-0.028633,0.089837,0.054532,0.041745,-0.066487,0.083637,-0.03918,0.032253,-0.027954,0.019034,0.07453,-0.035646,-0.005211,0.026087,0.055202,-0.013989,0.056921,0.0049322,-0.0052307,-0.015923,-0.015711,-0.0051894
"AIH054",0.008331,-0.24364,-0.042469,0.10471,-0.10675,0.00057482,-0.05343,0.015177,0.069043,-0.099396,-0.081711,0.06696,0.15586,-0.028392,0.012798,-0.20261,-0.11074,0.018549,-0.079291,0.0081559,-0.077185,-0.0083775,-0.13098,-0.0080728,0.1127,-0.057389,-0.012121,-0.014447,0.080391,0.0068525,0.016128,0.0045467,-0.04473,-0.055471,-0.014756,-0.030753,1.6555e-05,0.025608,-0.0067967,0.008129,-0.0043207,0.018199
"AIH055",0.032639,-0.093326,-0.28267,0.034583,0.12231,-0.1449,0.10247,0.11312,-0.21947,0.00126,0.041651,0.14995,-0.087526,-0.027441,0.011364,0.076002,-0.066235,0.12774,-0.0543,0.11589,-0.010828,-0.029007,0.092853,-0.0033213,0.062296,-0.010662,-0.035091,0.0102,-0.015389,-0.065251,0.028197,0.0035737,-0.018133,0.016472,-0.023992,-0.021369,-0.01273,0.015201,-0.031403,0.025873,-0.0064902,-0.0076974
"AIH056",0.098786,-0.20831,0.23039,-0.023338,0.14024,-0.076574,0.026991,-0.040226,-0.0079014,0.21552,0.058964,0.020869,-0.15197,-0.1382,0.036679,-0.03855,-0.02902,0.096744,-0.029921,0.07201,0.034425,0.040001,0.013856,0.067982,-0.035549,-0.058378,-0.1151,0.0040748,0.020991,0.067835,-0.023832,0.078262,0.03528,-0.03698,0.0034642,0.0093394,-0.047295,0.02338,-0.031108,-0.018973,0.029913,0.008044
"AIH057",0.11298,-0.10325,-0.23357,-0.055901,-0.062098,-0.021887,-0.1644,0.14215,0.074802,0.022134,-0.0907,0.044624,-0.014822,0.033919,-0.025387,0.18108,-0.11539,-0.015689,-0.018825,0.025517,-0.088058,-0.127,-0.13683,0.066619,0.0076534,-0.0089322,-0.061127,-0.03292,-0.065158,-0.029385,-0.053981,-0.0092743,0.063459,0.0085886,0.051062,0.019649,-0.0050611,0.035119,-0.0018362,0.002333,-0.015949,0.006978
"AIH058",0.13,-0.23592,0.15403,-0.030487,0.045003,0.12121,-0.0013043,0.0039874,0.062237,-0.1107,0.035984,-0.045216,-0.034736,0.083152,0.10191,0.10634,-0.085136,-0.15869,0.054299,-0.029477,0.037976,-0.0080872,-0.0081722,0.010909,-0.015935,0.03476,-0.06046,-0.061158,-0.017102,0.0048599,0.026309,0.030417,0.0070758,-0.063627,-0.07549,-0.012754,-0.008346,-0.026878,0.051265,-0.039567,0.0023546,0.01015
"AIH059",0.10451,-0.12811,0.15378,0.036308,0.045198,0.061766,0.10814,-0.049642,0.03165,-0.14629,0.045442,-0.1013,0.12928,-0.054972,0.06914,0.088758,0.06355,-0.11641,0.11371,-0.058882,-0.019374,-0.068605,-0.024869,-0.032228,0.037431,0.0094477,-0.081637,0.029356,0.027582,-0.016433,-0.050761,-0.0015899,-0.063139,0.021012,0.053789,0.037278,-0.030925,-0.025387,-0.02908,0.014871,0.01364,-0.0064958
"AIH060",0.051912,-0.21686,0.072975,-0.041719,0.068333,0.046893,0.074132,-0.066292,-0.19793,-0.14372,-0.11463,0.043862,0.016587,0.03311,0.061807,-0.020457,-0.038247,0.024067,-0.0038202,-0.050422,0.11251,0.066195,-0.1489,-0.0080491,-0.032019,-0.096826,0.07838,0.17056,-0.093295,-0.020155,0.026454,0.054644,0.016961,0.019283,0.020666,-0.0076088,0.0038403,-0.023686,-0.0080133,-0.01117,0.010068,0.015177
"AIH061",0.00019542,-0.067398,0.059615,-0.24484,-0.30918,-0.083175,-0.14824,0.048566,-0.098113,-0.0011247,0.072279,0.16282,-0.06611,0.00088887,-0.042828,0.033679,0.083641,-0.058201,0.15304,0.02995,-0.01031,0.053206,-0.0019244,-0.060016,-0.0046636,-0.0019832,-0.02946,-0.036017,0.057983,-0.033821,-0.026496,-0.02892,0.067036,-0.040905,0.06222,-0.043453,-0.0069028,-0.0046312,0.017708,0.011589,0.019638,0.01712
"AIH062",0.28592,0.1681,-0.14311,-0.01967,0.058695,0.07081,0.046189,0.21692,0.086996,0.017093,0.0029413,-0.060687,-0.013953,0.035534,0.038978,0.17123,-0.024794,0.08051,0.0052327,-0.034949,0.01999,0.015399,-0.055242,0.0157,0.013414,0.086948,0.17189,-0.0027549,0.063266,0.11618,0.018101,-0.024575,-0.0044599,-0.025545,0.0014667,-0.029861,-0.02399,-0.0072484,-0.026811,0.011169,0.040248,0.001273
"AIH063",0.0018175,-0.23892,0.16508,-0.053653,0.1477,-0.15823,0.071657,0.038799,-0.05549,0.21268,0.0085867,0.022833,-0.04486,0.044474,-0.022788,-0.047123,-0.046869,0.0047197,0.037887,-0.08284,-0.18667,0.092781,-0.011497,0.092543,3.4886e-05,0.066094,0.06187,0.017935,0.042461,-0.071037,0.014059,-0.0086645,-0.054714,0.0088141,-0.0076433,0.040336,0.022095,-0.0054302,0.018242,-0.019209,-0.0020198,0.0012954
"AIH064",0.092332,-0.27324,-0.056666,0.023306,0.032071,-0.081512,-0.11834,-0.062341,-0.11785,-0.21257,-0.13029,-0.042057,0.041054,0.051279,0.057793,0.039191,-0.087265,0.030136,0.084261,-0.010148,0.0016031,0.00093005,0.13711,-0.037385,0.074185,-0.06182,-0.055317,0.005651,-0.0013951,0.0097776,0.024389,-0.072244,-0.0025702,-0.010199,-0.029234,-0.033975,0.051174,-0.015352,-0.014229,-0.00068878,0.019189,-0.017506
"AIH065",0.11662,-0.21852,0.063407,-0.065432,0.062916,0.074352,-0.0026692,0.006205,0.054382,-0.16853,-0.13985,-0.17506,-0.0056559,0.08381,-0.071955,-0.071997,0.052474,0.14467,-0.0043449,-0.022349,-0.060514,-0.029525,0.10758,-0.059194,-0.069076,-0.051761,0.062511,-0.095392,0.032159,-0.033573,0.016461,0.051889,0.038713,-0.0020238,0.042294,0.027006,-0.027652,-0.024074,-0.037637,0.012941,-0.020308,0.027362
"AIH066",0.063868,-0.26162,0.08216,-0.010022,0.17793,0.012711,0.18635,-0.0043258,-0.078028,-0.054189,-0.09328,-0.029584,-0.067367,0.0096887,0.08352,0.00014768,0.0034314,-0.070366,0.048003,0.0035971,-0.093467,-0.033181,0.027046,0.052696,-0.062149,0.021954,0.043037,0.0493,-0.021442,0.010769,-0.085436,-0.041691,0.034717,-0.048358,-0.021356,0.018176,-0.038373,-0.00033462,0.012221,0.053002,-0.016146,-0.017171
"AIH068",0.23305,0.15905,0.19587,-0.074005,-0.075114,-0.027318,-0.023528,0.026318,0.0041768,-0.14644,0.18512,0.072362,-0.031528,0.10127,-0.086952,0.0051141,0.084162,0.046331,0.060462,0.0034732,0.0097464,-0.013029,-0.032991,0.031141,0.013352,0.032464,0.035654,0.024197,0.11657,-0.066515,0.003915,0.069841,0.03501,0.0049331,-0.006744,-0.029551,0.031569,4.564e-05,-0.028602,-0.022903,-0.017042,-0.022632
"AIH069",0.12411,-0.088515,0.22492,0.097135,-0.082218,0.11401,0.11181,0.0098468,-0.087227,-0.023407,0.16474,-0.050818,0.01708,-0.13381,-0.025943,-0.10616,-0.03975,0.05183,-0.12149,0.11238,-0.11351,-0.13227,-0.040061,-0.010299,0.012552,-0.004905,0.03532,-0.054984,-0.0189,0.0001705,-0.0094417,-0.065891,0.017141,0.070603,0.0095645,-0.020039,-0.018527,-0.063405,0.023918,-0.03175,0.023522,-0.0064203
"AIH070",0.069877,-0.1183,0.16372,-0.1759,-0.08026,-0.019162,-0.11233,0.21737,0.11496,0.13013,-0.086359,0.082813,-0.088475,-0.029015,-0.015953,0.067226,0.064019,-0.017592,-0.016662,-0.076751,-0.059245,-0.015152,0.040979,-0.12325,0.13509,-0.022017,0.026933,0.10615,-0.031213,0.022315,0.052813,-0.0022249,0.042726,0.047478,-0.046542,0.004864,-0.057532,-0.01101,0.024465,-0.00017294,-0.018182,-0.0015454
"AIH071",-0.040857,-0.20293,-0.13005,0.27195,0.023444,-0.14578,-0.19709,-0.1984,0.082285,-0.081981,0.13717,0.044672,0.0065115,-0.091447,0.057644,-0.057612,0.12015,-0.056642,0.030134,-0.033327,-0.054332,-0.026942,-0.0085295,0.0036331,0.032767,0.12657,-0.0057534,0.015111,-0.059695,0.038505,0.028802,0.030105,0.058419,0.029887,-0.018367,0.048622,0.016039,-0.0064618,-0.051334,-0.0049432,-0.0017688,0.014668
"AIH072",0.11628,0.11668,0.018704,0.13063,-0.28383,-0.088004,-0.26082,0.15792,-0.20773,0.086649,-0.092183,-0.14803,0.067807,-0.25438,0.016847,0.1419,0.097261,-0.12302,-0.096505,-0.014021,-0.0005217,0.074776,0.00085914,0.036455,-0.068395,-0.0529,0.018085,-0.032754,0.010055,-0.056436,0.0077643,0.033396,-0.040771,-0.0035035,-0.051148,0.0094092,0.003983,-0.022482,-0.026662,0.010661,-0.0001007,-0.0030597
"AIH074",-0.32965,-0.041933,0.019702,-0.15965,-0.02255,-0.1738,0.13135,-0.063122,0.024238,0.11255,0.023,0.084884,0.22756,-0.10488,-0.04823,-0.045789,0.00064124,-0.02623,0.0083864,0.01343,0.043583,-0.028492,0.02548,-0.014745,0.037197,0.043818,-0.0081061,0.002173,-0.0018548,0.04919,0.037463,0.040427,-0.013354,-0.021221,0.023994,-0.051023,-0.0073142,-0.043145,0.030722,0.044095,-0.014664,0.0078479
"AIH076",-0.31639,-0.058671,0.038958,0.12996,0.026711,-0.29921,0.29618,0.12079,-0.074536,0.085606,-0.01378,-0.096657,0.096773,0.11265,-0.10203,0.026833,0.13094,-0.052037,0.10581,0.10715,-0.018225,-0.0080506,0.024776,0.062672,0.060509,-0.034521,0.041828,0.010602,-0.034279,-0.0090092,-0.025067,-0.026721,3.0291e-05,-0.033478,-0.020326,-0.0016325,0.020672,0.011141,-0.011121,-0.033874,0.0031677,0.021944
"AIH077",0.1476,-0.044264,-0.2928,0.079615,-0.047585,0.18304,0.034223,0.1796,-0.16356,0.1324,-0.031924,-0.016992,0.099274,0.05605,0.010094,-0.25224,0.0084794,-0.074596,-0.021659,-0.005285,0.0047847,0.0081654,-0.028795,-0.089118,-0.043765,0.013702,-0.015098,0.0119,0.068539,0.025176,-0.024735,0.0052016,0.049446,-0.015476,-0.043962,0.039568,0.0076313,0.0003305,0.0031894,0.0031574,-0.0029468,-0.010011
"AIH081",-0.078899,-0.068032,0.026333,-0.15802,0.1877,0.14928,-0.026563,-0.048156,0.063713,-0.061657,-0.051281,0.037741,0.018478,0.091204,-0.11306,0.061111,-0.0071116,-0.084643,-0.10847,-0.015631,-0.027452,0.09071,-0.017562,0.016153,0.14204,-0.012344,-0.057098,-0.026907,0.043378,0.014515,-0.061492,0.057758,-0.023768,0.035919,-0.019623,0.0016268,0.0012551,-0.00102,-0.025887,-0.012335,0.010041,-0.013858
"AIH082",-0.095156,0.030608,-0.2539,-0.32792,-0.13287,0.0068717,0.04784,-0.2049,0.061791,0.057389,-0.083417,-0.25322,0.070118,0.062466,-0.089978,0.0077052,0.063845,0.11844,-0.016767,0.075152,-0.013632,0.05639,-0.0051936,-0.018048,-0.018572,0.10348,-0.094086,0.061749,-0.007216,-0.031503,0.0081468,0.0052236,-0.013236,0.021382,-0.036114,-0.0090447,-0.056209,-0.0010772,0.006318,0.0013129,0.016388,-0.0019129
"AIH083",-0.024929,-0.064905,-0.16949,-0.242,-0.19728,0.0023045,0.0002126,-0.06186,0.0070203,-0.048792,-0.067691,0.059444,-0.097449,-0.062754,-0.053095,-0.04134,0.038747,-0.0017489,-0.082179,0.04379,0.10602,-0.13857,0.0040411,0.0001588,0.012838,0.087304,0.06738,0.032093,-0.051851,-0.0453,-0.055407,0.011566,-0.062812,-0.060771,0.0014835,0.025154,0.0095061,-0.0041626,0.0091122,-0.039278,0.0023021,-0.0021656
